F1,F2,F3,F4,F5,F6,F7,F8,NIR_1,NIR_2,Ripeness,Date,Prediction
96,560,585,755,1000,978,836,424,167,164,4,01/02,0.0
96,561,587,758,1000,982,839,426,168,164,4,01/02,0.0
80,466,482,625,934,821,706,361,138,137,4,01/02,0.0
72,419,439,566,865,760,655,336,126,129,4,01/02,0.0
72,419,438,565,871,765,659,336,126,129,4,01/02,0.0
74,430,444,575,861,758,653,332,126,126,4,01/02,0.0
16,55,62,109,304,323,294,165,54,70,4,01/02,3.0
102,678,675,866,1000,1000,941,486,198,197,4,01/02,0.0
184,1000,1000,1000,1000,1000,1000,848,329,334,4,01/02,2.0
185,1000,1000,1000,1000,1000,1000,840,329,332,4,01/02,2.0
77,454,470,609,847,743,641,325,128,120,4,01/02,0.0
65,377,387,505,741,651,562,283,106,102,4,01/02,0.0
57,335,350,452,683,601,519,261,92,94,4,01/02,0.0
56,322,329,431,625,551,476,238,88,84,4,01/02,0.0
54,316,323,421,648,571,494,248,86,88,4,01/02,0.0
52,307,318,412,617,544,471,234,82,82,4,01/02,0.0
44,250,252,334,508,451,394,196,69,68,4,01/02,0.0
44,245,248,326,505,449,389,194,68,68,4,01/02,0.0
45,249,254,333,483,429,373,185,70,66,4,01/02,0.0
43,245,249,328,505,449,389,195,68,70,4,01/02,0.0
41,233,241,315,500,444,386,193,64,70,4,01/02,0.0
42,235,241,315,491,437,381,189,66,68,4,01/02,0.0
41,235,240,315,491,437,380,189,66,68,4,01/02,0.0
30,163,172,221,333,301,262,131,48,48,4,02/02,3.0
12,51,57,72,189,176,154,78,18,28,4,02/02,3.0
5,39,35,47,68,53,46,23,8,8,4,02/02,3.0
30,73,176,322,412,275,209,153,52,52,4,02/02,0.0
24,75,86,85,132,237,355,245,52,52,4,02/02,3.0
19,66,74,73,124,252,382,245,40,44,4,02/02,3.0
44,83,119,83,159,297,982,723,114,112,4,02/02,2.0
15,40,32,48,98,189,468,305,38,52,4,02/02,3.0
35,105,100,117,98,294,1000,705,95,112,4,02/02,2.0
120,372,344,351,645,1000,1000,1000,342,381,4,02/02,2.0
69,317,264,357,1000,1000,1000,1000,194,278,4,02/02,2.0
90,383,295,424,645,819,1000,835,179,152,4,02/02,2.0
36,38,39,41,68,157,502,667,102,100,4,02/02,2.0
180,955,997,1000,1000,1000,1000,855,255,250,4,02/02,2.0
62,382,437,466,725,643,525,297,122,120,4,02/02,0.0
42,213,264,289,337,287,227,118,73,48,4,02/02,0.0
0,0,0,1,3,3,2,2,0,2,4,02/02,3.0
18,115,114,138,188,156,138,73,30,30,4,02/02,3.0
19,91,101,122,172,159,140,75,46,44,4,02/02,3.0
32,30,29,30,93,216,610,398,89,60,4,02/02,2.0
14,37,31,44,147,263,624,408,40,78,4,02/02,2.0
142,837,897,1000,1000,1000,1000,595,274,212,4,02/02,1.0
31,104,114,210,328,338,316,179,70,53,4,02/02,3.0
19,63,60,79,471,762,741,369,50,98,4,02/02,3.0
78,196,215,227,704,1000,1000,603,178,160,4,02/02,1.0
35,195,205,262,392,353,302,152,56,56,4,05/02,0.0
23,126,141,177,262,237,207,103,36,36,3,05/02,3.0
30,168,186,233,346,314,270,135,48,48,2,05/02,3.0
32,174,182,233,367,331,285,144,50,52,4,05/02,3.0
33,180,191,243,377,339,292,147,52,54,3,05/02,3.0
